centro_codigo|centro_nombre|centro_tipo_codigo|centro_tipo_desc_abreviada|centro_tipo_descripcion|centro_titular|centro_titularidad|contacto_email1|contacto_fax|contacto_telefono1|contacto_telefono2|contacto_telefono3|contacto_telefono4|contacto_web|dat_codigo|dat_nombre|direccion_codigo_postal|direccion_coor_x|direccion_coor_y|direccion_numero|direccion_via_nombre|direccion_via_tipo|distrito_codigo|distrito_nombre|municipio_codigo|municipio_nombre|centro_titularidad_pro|promedio_x|promedio_y|distancia
28000029|SAN BLAS|070|CP INF-PRI-SEC|COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|COMUNIDAD DE MADRID|PÚBLICO|cp.sanblas.ajalvir@educa.madrid.org|918844211|918844589|""|""|""|http://www.educa.madrid.org/cp.sanblas.ajalvir|3|Madrid-Este|28864|458832|4487797|s/n|Víctor Hurtado|CALLE|""|""|002|Ajalvir|PÚBLICO|440157.3842874543|4474481.943970768|22935.38726668577
28000042|EL ALAMO|014|CP INF-PRI|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|COMUNIDAD DE MADRID|PÚBLICO|cp.elalamo.elalamo@educa.madrid.org|918122834|918120652|""|""|""|http://www.educa.madrid.org/cp.elalamo.elalamo|2|Madrid-Sur|28607|415961|4453703|1|del Río Alagón|CALLE|""|""|004|Álamo, El|PÚBLICO|440157.3842874543|4474481.943970768|31894.035886454887
28000054|ANTONIO DE NEBRIJA|014|CP INF-PRI|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|COMUNIDAD DE MADRID|PÚBLICO|cp.antoniodenebrija.alcala@educa.madrid.org|918882368|918882368|""|""|""|http://www.educa.madrid.org/cp.antoniodenebrija.alcala|3|Madrid-Este|28806|468386|4482313|13|San Ignacio de Loyola|CALLE|""|""|005|Alcalá de Henares|PÚBLICO|440157.3842874543|4474481.943970768|29294.712553284357
28000066|CARDENAL CISNEROS|014|CP INF-PRI|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|COMUNIDAD DE MADRID|PÚBLICO|cp.cardenalcisnero.alcala@educa.madrid.org|918837578|918880447|615303251|""|""|http://www.educa.madrid.org/cp.cardenalcisnero.alcala|3|Madrid-Este|28801|468658|4481259|2|San Juan|CALLE|""|""|005|Alcalá de Henares|PÚBLICO|440157.3842874543|4474481.943970768|29295.28263078476
28000078|CERVANTES|014|CP INF-PRI|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|COMUNIDAD DE MADRID|PÚBLICO|cp.cervantes.alcala@educa.madrid.org|918816276|918889973|""|""|""|http://www.educa.madrid.org/cp.cervantes.alcala|3|Madrid-Este|28800|469547|4481511|5|Giner de los Ríos|CALLE|""|""|005|Alcalá de Henares|PÚBLICO|440157.3842874543|4474481.943970768|30218.490041582136
28000081|DAOIZ Y VELARDE|014|CP INF-PRI|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|COMUNIDAD DE MADRID|PÚBLICO|cp.daoizyvelarde.alcala@educa.madrid.org|918880958|918880958|918829222|""|""|http://www.educa.madrid.org/cp.daoizyvelarde.alcala|3|Madrid-Este|28807|468826|4481956|2|Infantado|CALLE|""|""|005|Alcalá de Henares|PÚBLICO|440157.3842874543|4474481.943970768|29626.863492474604
28000157|SAGRADO CORAZON DE JESUS|072|CPR INF-PRI-SEC|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|RELIGIOSAS FILIPENSES|PRIVADO CONCERTADO|cc.scorazondejesus.alcala@educa.madrid.org|918836927|918880654|918880073|""|""|http://www.colegiofilipensealcaladehenares.es|3|Madrid-Este|28801|468895|4481221|6|Escritorios|CALLE|""|""|005|Alcalá de Henares|PRIVADO CONCERTADO|440264.7489361702|4474293.580851064|29456.415464936876
28000224|SAN FELIPE NERI|015|CPR INF-PRI|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|CONGREGACION DEL ORATORIO DE SAN FELIPE NERI|PRIVADO CONCERTADO|cc.sanfelipeneri.alcala@educa.madrid.org|918881397|918881397|""|""|""|www.colegiosanfelipe.es|3|Madrid-Este|28801|468721|4481288|4|San Felipe Neri|CALLE|""|""|005|Alcalá de Henares|PRIVADO CONCERTADO|440264.7489361702|4474293.580851064|29303.244254497095
28000303|ESCUELAS PIAS|072|CPR INF-PRI-SEC|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|ESCUELAS PIAS PROVINCIA BETANIA|PRIVADO CONCERTADO|cc.escuelaspias.alcala@educa.madrid.org|918820850|918893158|918880356|""|""|http://www.escolapiosalcala.es|3|Madrid-Este|28804|470018|4481495|27|Lope de Figueroa|AVDA|""|""|005|Alcalá de Henares|PRIVADO CONCERTADO|440264.7489361702|4474293.580851064|30612.356763665728
28000315|EMPERADOR FERNANDO|014|CP INF-PRI|COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|COMUNIDAD DE MADRID|PÚBLICO|cp.emperadorfernan.alcala@educa.madrid.org|918807542|918823334|""|""|""|http://www.educa.madrid.org/cp.emperadorfernan.alcala|3|Madrid-Este|28803|468369|4480180|44|de la Ronda Fiscal|CALLE|""|""|005|Alcalá de Henares|PÚBLICO|440157.3842874543|4474481.943970768|28781.297809942917
